Actual Wavelengths,Predicted Wavelengths
525.0187914938344,573.4622621882651
521.1114652109535,541.9085221550573
446.1343339094556,479.28387507873396
642.2036243588196,662.5943081350408
602.296448424304,603.3395385235514
483.4807214393936,534.9904384161226
440.3836981097085,464.3383360628276
831.5215709029452,639.6247085710787
702.8279199121653,594.5289398916196
627.3304389588875,556.4126104851956
620.4448021319861,483.8982436566205
598.641817832653,648.9731900730741
581.2496063907054,602.6966611298712
552.9567277269363,575.7440587838644
465.736931290636,494.4323282289073
613.3467403349949,633.2434668904098
574.3866705839907,580.084765234955
568.2488278768235,542.9048816555851
453.97680327833547,476.87983824522905
586.826733870532,633.266375508282
558.5088216848934,583.3216680935155
534.5227198449309,543.0648941615812
461.4655668837807,476.4204674763436
617.8885202787397,609.0817902753452
582.2590726071375,556.6143874738083
525.2228710201773,514.044751778592
474.0915867474108,469.679692771527
487.3007546155335,652.2114702557691
452.6130496607777,586.2583786083035
450.5819555706401,531.3983752586571
420.47223918502647,478.14261199700303
747.8713425682434,655.664193642638
603.1552420896735,589.8526385686023
595.564757016147,544.4113341445067
485.2427962802294,484.60286050577673
808.9820195810361,650.4895341804303
737.6270040010118,605.0849004742848
718.5840110078352,568.6510559704159
587.0235374380363,488.8170660131181
492.34848299947487,625.6338805093673
490.1861035177276,577.0442315727695
461.0671408438447,544.3945465122689
433.9821062432427,479.8168141542238
580.214669021434,628.7563943372663
574.4152741961453,580.6724918975108
563.985055817266,537.2901598914402
457.8968754331682,478.25254797055425
602.8558096941915,647.082738260402
537.8163313736185,592.9481344098241
529.7152287926846,533.2472207206316
497.8348305978821,466.1439659761941
816.8647005799231,653.0192604106958
642.6166556645695,591.6623071767164
581.5734571327612,542.5047554361548
577.9376358918604,482.64363772537104
474.5193247730624,605.2082885414716
456.7290686956979,551.5266114023914
450.0867751540775,517.9145487112645
437.6664699192188,472.20872917557483
880.4209657324252,650.6031330505268
723.639895856916,591.9201559474897
722.9494731819235,552.2290070254975
632.392256729312,487.3456970694304
