A36E_Actual_Wavelength,A36E_Predicted_Wavelength
550.3632709993229,580.85028862153
517.5891078367027,540.082127025488
448.2195600461519,474.81014709919344
489.662931386531,635.5615434501561
466.9335638682227,575.5601078047687
458.8671942678071,536.3972943428308
457.65177620109154,470.5062793592958
515.2235243375959,640.0663660198586
484.0151816302753,582.1550718772528
475.31235348623653,543.4379049813008
448.526131533754,476.42840862308515
539.2630035181747,649.0591075051913
538.9591736445121,585.5161368698238
494.0468783190701,538.9186952805602
453.0898359519887,475.4461232351081
510.1714411665308,638.5482156007482
504.062559665145,570.7155763179729
489.361788908185,541.216991560633
450.1084735005105,459.7666702029606
703.845243639987,620.8872806077483
672.0142960922122,578.0249685571857
633.5596971505722,546.2749745258848
451.3859500277666,480.3175980967426
680.7479835441547,622.5169421795407
567.5579647993288,572.5199292483372
531.7119378490902,542.0884392991036
447.83671443775125,472.46572435796315
698.7827201066591,619.4953121761325
686.5595905806545,576.1376425754822
614.797560251236,544.9250149281022
450.8886448973554,479.10256156220066
739.8655657728997,636.869137341459
614.0837079121808,586.3402660146849
544.5777363049323,545.6433998449918
519.7895359357627,472.3055839773548
676.8394403543999,622.6429733915807
629.3607458874646,579.7295011855264
614.3525646559199,548.4436813076314
481.6278212224103,480.3614117344711
703.0574020296224,620.4438038414509
580.9031557113021,570.5809634721118
541.6768565091862,536.6392020521847
484.1221023256675,471.31733700321047
656.1290436899292,623.0663839174086
647.2583854153044,583.1609855996821
627.4196766298201,547.6668159219521
479.0964321215763,482.5480215315231
529.9384469988903,629.9424021145672
526.1780121526813,585.4400476554811
463.9538871989624,533.5300950707131
451.7062290751185,475.71809405250127
543.8669080185891,634.9519672822768
524.4265770276072,587.1084179050517
521.6821745730539,533.7111191503209
455.0579206600038,473.0867243969211
656.542117151021,637.4041656898404
622.4443186404698,586.7086827792713
570.1847305076353,546.1220914095604
529.5240133472662,472.25158242374073
816.8647005799231,651.702116394028
642.6166556645695,588.7388053575536
581.5734571327612,538.3172536150319
577.9376358918604,479.36910203147346
590.5546471605375,629.3312837710813
567.3980884969088,575.9194757037475
476.6345897264673,537.7299797209179
473.0020120341411,476.5381240505565
815.4286371353267,662.036417246481
656.9049422633925,592.9236004053153
605.3092397437212,541.073142961632
580.3870997222236,475.5933056902383
768.8995068104871,622.235842060316
609.8527150971846,582.9219822100321
570.5677359592181,549.338986294216
552.0152616569843,483.4457600365972
638.531484013179,622.6212560683891
538.2410542088205,568.6486315273238
494.1925808116165,529.0166366631512
478.8165454897073,471.7416993626988
744.441471555693,649.72347476526
615.8720804215559,588.1337355549493
607.6991433081654,543.2445887167294
480.3563608398537,478.26936851680523
887.3754949123627,656.4491059409737
667.0744830979241,592.8884492576886
607.7772076526338,550.1728601566803
592.425483552561,478.6729302180847
893.5361726985616,653.104672287964
830.246972179423,589.9604215248632
