Actual Wavelengths,Predicted Wavelengths
529.5240133472662,470.02333509836456
768.8995068104871,668.018129095838
609.8527150971846,624.1069590427251
570.5677359592181,590.4867506234236
552.0152616569843,493.7095455324729
627.8152886079606,651.0559393580412
567.169174201136,582.7857804777212
547.6231064964916,548.1166793353995
483.55558564990014,488.1522457016688
538.6835163653345,673.5451085022517
520.2622832276276,616.6046880874225
512.2306759356334,579.576477104105
449.6579066436104,493.82299590212324
619.0827958036338,548.4707728103235
604.4872891406883,526.9028876824923
577.1910730047197,477.3929301992358
458.9132736009928,446.08651980471984
577.4424206616455,574.0683796944736
560.8128116474442,551.1749709671141
516.3654195668769,501.75380320659656
459.4562916962709,456.4184956529971
846.2989795017129,556.1378012890198
519.3340435775315,537.302691125198
476.0801284568726,485.9668395427622
472.4757093430973,448.99581680110214
628.3419593131739,627.8313898865595
586.2749066373407,581.0085941227045
543.221784849254,521.2962240427693
446.7457013652693,465.3746074141126
677.5111501863419,644.9247518494078
572.2867929089758,596.230951974291
553.126563660848,555.9793088473954
461.33128038202415,483.12700901681353
816.8647005799231,665.2000981977294
642.6166556645695,595.1879238043415
581.5734571327612,550.8085167658398
577.9376358918604,489.6580212292645
574.3081158369903,702.1240015800059
562.4919756701654,616.7444434789788
545.268890057187,573.973211814297
468.2588059440985,501.82646673879736
520.9625049252976,560.4936164831203
495.55159589650657,539.4782360769002
476.2101986300317,489.1902042729521
455.947918114199,450.8596129203922
577.9110993685471,625.2733986903479
568.4841471810776,573.2994272979997
558.335733396071,542.618616176405
454.5949914887845,480.2271304383806
718.8768641364126,662.5403280325977
663.635620780502,588.3593305440073
582.0955673810182,547.9710116408968
464.11249093948686,488.3729405927535
561.2118046750935,659.1303167202308
507.2766454987986,608.4474705844976
441.9149706845173,566.6512901807421
435.3908346214956,487.6033511002445
664.6014143673349,683.3131502690202
619.3985689213596,601.0334405849532
518.9311182718285,553.1996815876182
476.479471533738,492.92866389763077
683.4840680000094,547.5102154411101
588.9179303042077,532.60420860094
520.3435647859537,479.79096975295266
409.14876372677094,445.499066226566
574.83850578051,572.6343103174246
571.2346514934544,546.5849858760946
550.0238995615491,499.16643447389396
468.8073440328863,456.3616465928049
702.530986930159,663.4319136780715
563.8065338640872,588.3258716760818
530.0139019122432,543.5447375053868
